housing_type,address,postal_code,area_sqm,area_sqft,transaction_price,sale_date,latitude,longitude,town,flat_type,flat_model,storey_range,lease_commence_date,lease_remaining
hdb,468B FERNVALE LINK,792468,93,1001,450000,01/04/21,1.39745479369414,103.878010391039,SENGKANG,4 ROOM,Model A,07 TO 09,2016,94 years 05 months
hdb,471A FERNVALE ST,791471,93,1001,469000,01/04/21,1.39604094734395,103.880735419983,SENGKANG,4 ROOM,Model A,25 TO 27,2016,94 years 06 months
hdb,178B RIVERVALE CRES,542178,93,1001,435000,01/04/21,1.38854689304717,103.910034044279,SENGKANG,4 ROOM,Model A,13 TO 15,2015,93 years
hdb,124C RIVERVALE DR,543124,90,969,385000,01/04/21,1.38809640740116,103.902720783456,SENGKANG,4 ROOM,Model A2,07 TO 09,1999,77 years 03 months
hdb,319A ANCHORVALE DR,541319,110,1184,502000,01/04/21,1.39059690271609,103.890148270578,SENGKANG,5 ROOM,Improved,10 TO 12,2002,80 years 06 months
hdb,315C ANCHORVALE RD,543315,110,1184,480000,01/04/21,1.39234414519171,103.888049808731,SENGKANG,5 ROOM,Premium,10 TO 12,2003,81 years 03 months
hdb,158C RIVERVALE CRES,543158,110,1184,445000,01/04/21,1.38818825958938,103.907145829717,SENGKANG,5 ROOM,Premium,04 TO 06,2003,81 years 04 months
hdb,184A RIVERVALE CRES,541184,110,1184,438000,01/04/21,1.39212575224244,103.907508047408,SENGKANG,5 ROOM,Improved,16 TO 18,2003,81 years 01 month
hdb,987A BUANGKOK GREEN,531987,93,1001,450000,01/05/21,1.37988778365711,103.878384864309,HOUGANG,4 ROOM,Model A,07 TO 09,2015,92 years 09 months
hdb,835 HOUGANG CTRL,530835,106,1141,505000,01/05/21,1.37036355618576,103.889999645495,HOUGANG,4 ROOM,Model A,07 TO 09,1992,70 years 06 months
hdb,166 HOUGANG AVE 1,530166,123,1324,560000,01/05/21,1.35117566880154,103.888195279031,HOUGANG,5 ROOM,Improved,10 TO 12,1997,75 years 05 months
